name,steam_appid,genres,release_date
X-Blades,7510,"['Nudity', 'Violent', 'Action', 'Adventure', 'RPG']",2009-04-30 00:00:00
Two Worlds II HD,7520,['RPG'],2011-02-03 00:00:00
Two Worlds II Castle Defense,7530,['Strategy'],2011-06-14 00:00:00
Sid Meier's Railroads!,7600,['Strategy'],2007-05-04 00:00:00
X-COM: Terror From the Deep,7650,['Strategy'],2007-05-04 00:00:00
X-COM: Apocalypse,7660,['Strategy'],2008-09-04 00:00:00
BioShock™,7670,"['RPG', 'Action']",2007-08-21 00:00:00
X-COM: Interceptor,7730,['Strategy'],2008-09-04 00:00:00
X-COM: UFO Defense,7760,['Strategy'],2008-09-04 00:00:00
X-COM: Enforcer,7770,['Strategy'],2008-09-04 00:00:00
Stubbs the Zombie in Rebel Without a Pulse,7800,['Action'],2021-03-16 00:00:00
Men of War™,7830,['Strategy'],2009-05-06 00:00:00
Death Track®: Resurrection,7840,['Racing'],2009-05-06 00:00:00
NecroVision,7860,['Action'],2009-05-20 00:00:00
Call of Duty® 4: Modern Warfare®,7940,['Action'],2007-11-12 00:00:00
Tomb Raider: Anniversary,8000,"['Action', 'Adventure']",2007-06-05 00:00:00
Conflict: Denied Ops,8100,['Action'],2008-02-08 00:00:00
Tomb Raider: Underworld,8140,"['Action', 'Adventure']",2008-11-21 00:00:00
Just Cause 2,8190,"['Action', 'Adventure']",2010-03-23 00:00:00
Telltale Texas Hold ‘Em,8330,['Casual'],2008-06-17 00:00:00
Strong Bad's Cool Game for Attractive People: Season 1,8340,['Adventure'],2008-12-18 00:00:00
Strong Bad's Cool Game for Attractive People: Episode 2,8350,['Adventure'],
Strong Bad's Cool Game for Attractive People: Episode 3,8360,['Adventure'],
Strong Bad's Cool Game for Attractive People: Episode 4,8370,['Adventure'],
Strong Bad's Cool Game for Attractive People: Episode 5,8380,['Adventure'],
Geometry Wars: Retro Evolved,8400,['Casual'],2007-06-18 00:00:00
RACE 07,8600,['Racing'],2007-10-15 00:00:00
RACE On,8780,['Racing'],2009-10-16 00:00:00
GTR 2 FIA GT Racing Game,8790,"['Simulation', 'Racing', 'Sports']",2012-12-12 00:00:00
Civilization IV: Beyond the Sword,8800,['Strategy'],2007-07-24 00:00:00
BioShock® 2,8850,['Action'],2010-02-09 00:00:00
BioShock Infinite,8870,['Action'],2013-03-25 00:00:00
Freedom Force,8880,"['RPG', 'Strategy']",2009-05-29 00:00:00
Freedom Force vs. the Third Reich,8890,"['RPG', 'Strategy']",2009-05-29 00:00:00
Sid Meier's Civilization® V,8930,['Strategy'],2010-09-23 00:00:00
Axel & Pixel,8970,['Indie'],2010-10-06 00:00:00
Borderlands Game of the Year,8980,"['RPG', 'Action']",
Spear of Destiny,9000,['Action'],2007-08-03 00:00:00
Return to Castle Wolfenstein,9010,['Action'],2007-08-03 00:00:00
DOOM 3,9050,['Action'],2007-08-03 00:00:00
HeXen II,9060,['Action'],2007-08-03 00:00:00
Master Levels for Doom II,9160,['Action'],2007-08-03 00:00:00
Commander Keen,9180,['Action'],2007-08-03 00:00:00
RAGE,9200,['Action'],2011-10-03 00:00:00
"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,['Strategy'],2007-08-07 00:00:00
Company of Heroes: Opposing Fronts,9340,"['Action', 'Strategy']",2007-09-24 00:00:00
Supreme Commander,9350,['Strategy'],2011-09-28 00:00:00
Supreme Commander: Forged Alliance,9420,['Strategy'],2011-09-28 00:00:00
"Warhammer® 40,000: Dawn of War® - Soulstorm",9450,['Strategy'],2008-03-07 00:00:00
Frontlines™: Fuel of War™,9460,['Action'],2008-02-29 00:00:00
Saints Row 2,9480,['Action'],2009-01-07 00:00:00
Gish,9500,"['Action', 'Indie', 'Adventure']",2007-07-20 00:00:00
Desperados 2: Cooper's Revenge,9710,['Action'],2008-03-12 00:00:00
Tycoon City: New York,9730,['Simulation'],2008-03-12 00:00:00
Act of War: High Treason,9760,['Action'],2008-03-12 00:00:00
Death to Spies,9800,"['Action', 'Adventure']",2008-03-12 00:00:00
